Organ_system	Subcategory	ICD10Code	ICD10Description
cancer		C00.0	Malignant neoplasm of external upper lip
cancer		C00.1	Malignant neoplasm of external lower lip
cancer		C00.2	Malignant neoplasm of external lip, unspecified
cancer		C00.3	Malignant neoplasm of upper lip, inner aspect
cancer		C00.4	Malignant neoplasm of lower lip, inner aspect
cancer		C00.5	Malignant neoplasm of lip, unspecified, inner aspect
cancer		C00.6	Malignant neoplasm of commissure of lip, unspecified
cancer		C00.8	Malignant neoplasm of overlapping sites of lip
cancer		C00.9	Malignant neoplasm of lip, unspecified
cancer		C01.	Malignant neoplasm of base of tongue
cancer		C02.0	Malignant neoplasm of dorsal surface of tongue
cancer		C02.1	Malignant neoplasm of border of tongue
cancer		C02.2	Malignant neoplasm of ventral surface of tongue
cancer		C02.3	Malignant neoplasm of anterior two-thirds of tongue, part unspecified
cancer		C02.4	Malignant neoplasm of lingual tonsil
cancer		C02.8	Malignant neoplasm of overlapping sites of tongue
cancer		C02.9	Malignant neoplasm of tongue, unspecified
cancer		C03.0	Malignant neoplasm of upper gum
cancer		C03.1	Malignant neoplasm of lower gum
cancer		C03.9	Malignant neoplasm of gum, unspecified
cancer		C04.0	Malignant neoplasm of anterior floor of mouth
cancer		C04.1	Malignant neoplasm of lateral floor of mouth
cancer		C04.8	Malignant neoplasm of overlapping sites of floor of mouth
cancer		C04.9	Malignant neoplasm of floor of mouth, unspecified
cancer		C05.0	Malignant neoplasm of hard palate
cancer		C05.1	Malignant neoplasm of soft palate
cancer		C05.2	Malignant neoplasm of uvula
cancer		C05.8	Malignant neoplasm of overlapping sites of palate
cancer		C05.9	Malignant neoplasm of palate, unspecified
cancer		C06.0	Malignant neoplasm of cheek mucosa
cancer		C06.1	Malignant neoplasm of vestibule of mouth
cancer		C06.2	Malignant neoplasm of retromolar area
cancer		C06.80	Malignant neoplasm of overlapping sites of unspecified parts of mouth
cancer		C06.89	Malignant neoplasm of overlapping sites of other parts of mouth
cancer		C06.9	Malignant neoplasm of mouth, unspecified
cancer		C07.	Malignant neoplasm of parotid gland
cancer		C08.0	Malignant neoplasm of submandibular gland
cancer		C08.1	Malignant neoplasm of sublingual gland
cancer		C08.9	Malignant neoplasm of major salivary gland, unspecified
cancer		C09.0	Malignant neoplasm of tonsillar fossa
cancer		C09.1	Malignant neoplasm of tonsillar pillar (anterior) (posterior)
cancer		C09.8	Malignant neoplasm of overlapping sites of tonsil
cancer		C09.9	Malignant neoplasm of tonsil, unspecified
cancer		C10.0	Malignant neoplasm of vallecula
cancer		C10.1	Malignant neoplasm of anterior surface of epiglottis
cancer		C10.2	Malignant neoplasm of lateral wall of oropharynx
