idx	Organ_system	ICDCode	ICDCodeDescription
1	GI	558.9	OTHER AND UNSPECIFIED NONINFECTIOUS GASTROENTERITIS AND COLITIS
2	GI	787.91	DIARRHEA
3	GI	G43.A0	Cyclical vomiting, in migraine, not intractable
4	GI	G43.A1	Cyclical vomiting, in migraine, intractable
5	GI	G43.D0	Abdominal migraine, not intractable
6	GI	G43.D1	Abdominal migraine, intractable
7	GI	K20.0	Eosinophilic esophagitis
8	GI	K20.8	Other esophagitis
9	GI	K20.9	Esophagitis, unspecified
10	GI	K21.0	Gastro-esophageal reflux disease with esophagitis
11	GI	K21.9	Gastro-esophageal reflux disease without esophagitis
12	GI	K22.10	Ulcer of esophagus without bleeding
13	GI	K22.11	Ulcer of esophagus with bleeding
14	GI	K22.70	Barrett's esophagus without dysplasia
15	GI	K22.710	Barrett's esophagus with low grade dysplasia
16	GI	K22.711	Barrett's esophagus with high grade dysplasia
17	GI	K22.719	Barrett's esophagus with dysplasia, unspecified
18	GI	K50.00	Crohn's disease of small intestine without complications
19	GI	K50.011	Crohn's disease of small intestine with rectal bleeding
20	GI	K50.012	Crohn's disease of small intestine with intestinal obstruction
21	GI	K50.013	Crohn's disease of small intestine with fistula
22	GI	K50.014	Crohn's disease of small intestine with abscess
23	GI	K50.018	Crohn's disease of small intestine with other complication
24	GI	K50.019	Crohn's disease of small intestine with unspecified complications
25	GI	K50.10	Crohn's disease of large intestine without complications
26	GI	K50.111	Crohn's disease of large intestine with rectal bleeding
27	GI	K50.112	Crohn's disease of large intestine with intestinal obstruction
28	GI	K50.113	Crohn's disease of large intestine with fistula
29	GI	K50.114	Crohn's disease of large intestine with abscess
30	GI	K50.118	Crohn's disease of large intestine with other complication
31	GI	K50.119	Crohn's disease of large intestine with unspecified complications
32	GI	K50.80	Crohn's disease of both small and large intestine without complications
33	GI	K50.811	Crohn's disease of both small and large intestine with rectal bleeding
34	GI	K50.812	Crohn's disease of both small and large intestine with intestinal obstruction
35	GI	K50.813	Crohn's disease of both small and large intestine with fistula
36	GI	K50.814	Crohn's disease of both small and large intestine with abscess
37	GI	K50.818	Crohn's disease of both small and large intestine with other complication
38	GI	K50.819	Crohn's disease of both small and large intestine with unspecified complications
39	GI	K50.90	Crohn's disease, unspecified, without complications
40	GI	K50.911	Crohn's disease, unspecified, with rectal bleeding
41	GI	K50.912	Crohn's disease, unspecified, with intestinal obstruction
42	GI	K50.913	Crohn's disease, unspecified, with fistula
43	GI	K50.914	Crohn's disease, unspecified, with abscess
44	GI	K50.918	Crohn's disease, unspecified, with other complication
45	GI	K50.919	Crohn's disease, unspecified, with unspecified complications
46	GI	K51.00	Ulcerative (chronic) pancolitis without complications
47	GI	K51.011	Ulcerative (chronic) pancolitis with rectal bleeding
48	GI	K51.012	Ulcerative (chronic) pancolitis with intestinal obstruction
49	GI	K51.013	Ulcerative (chronic) pancolitis with fistula
50	GI	K51.014	Ulcerative (chronic) pancolitis with abscess
51	GI	K51.018	Ulcerative (chronic) pancolitis with other complication
52	GI	K51.019	Ulcerative (chronic) pancolitis with unspecified complications
53	GI	K51.20	Ulcerative (chronic) proctitis without complications
54	GI	K51.211	Ulcerative (chronic) proctitis with rectal bleeding
55	GI	K51.212	Ulcerative (chronic) proctitis with intestinal obstruction
56	GI	K51.213	Ulcerative (chronic) proctitis with fistula
57	GI	K51.214	Ulcerative (chronic) proctitis with abscess
58	GI	K51.218	Ulcerative (chronic) proctitis with other complication
59	GI	K51.219	Ulcerative (chronic) proctitis with unspecified complications
60	GI	K51.30	Ulcerative (chronic) rectosigmoiditis without complications
61	GI	K51.311	Ulcerative (chronic) rectosigmoiditis with rectal bleeding
62	GI	K51.312	Ulcerative (chronic) rectosigmoiditis with intestinal obstruction
63	GI	K51.313	Ulcerative (chronic) rectosigmoiditis with fistula
64	GI	K51.314	Ulcerative (chronic) rectosigmoiditis with abscess
65	GI	K51.318	Ulcerative (chronic) rectosigmoiditis with other complication
66	GI	K51.319	Ulcerative (chronic) rectosigmoiditis with unspecified complications
67	GI	K51.40	Inflammatory polyps of colon without complications
68	GI	K51.411	Inflammatory polyps of colon with rectal bleeding
69	GI	K51.412	Inflammatory polyps of colon with intestinal obstruction
70	GI	K51.413	Inflammatory polyps of colon with fistula
71	GI	K51.414	Inflammatory polyps of colon with abscess
72	GI	K51.418	Inflammatory polyps of colon with other complication
73	GI	K51.419	Inflammatory polyps of colon with unspecified complications
74	GI	K51.50	Left sided colitis without complications
75	GI	K51.511	Left sided colitis with rectal bleeding
76	GI	K51.512	Left sided colitis with intestinal obstruction
77	GI	K51.513	Left sided colitis with fistula
78	GI	K51.514	Left sided colitis with abscess
79	GI	K51.518	Left sided colitis with other complication
80	GI	K51.519	Left sided colitis with unspecified complications
81	GI	K51.80	Other ulcerative colitis without complications
82	GI	K51.811	Other ulcerative colitis with rectal bleeding
83	GI	K51.812	Other ulcerative colitis with intestinal obstruction
84	GI	K51.813	Other ulcerative colitis with fistula
85	GI	K51.814	Other ulcerative colitis with abscess
86	GI	K51.818	Other ulcerative colitis with other complication
87	GI	K51.819	Other ulcerative colitis with unspecified complications
88	GI	K51.90	Ulcerative colitis, unspecified, without complications
89	GI	K51.911	Ulcerative colitis, unspecified with rectal bleeding
90	GI	K51.912	Ulcerative colitis, unspecified with intestinal obstruction
91	GI	K51.913	Ulcerative colitis, unspecified with fistula
92	GI	K51.914	Ulcerative colitis, unspecified with abscess
93	GI	K51.918	Ulcerative colitis, unspecified with other complication
94	GI	K51.919	Ulcerative colitis, unspecified with unspecified complications
95	GI	K52.0	Gastroenteritis and colitis due to radiation
96	GI	K52.1	Toxic gastroenteritis and colitis
97	GI	K52.21	Food protein-induced enterocolitis syndrome
98	GI	K52.22	Food protein-induced enteropathy
99	GI	K52.29	Other allergic and dietetic gastroenteritis and colitis
100	GI	K52.3	Indeterminate colitis
101	GI	K52.81	Eosinophilic gastritis or gastroenteritis
102	GI	K52.82	Eosinophilic colitis
103	GI	K52.831	Collagenous colitis
104	GI	K52.832	Lymphocytic colitis
105	GI	K52.838	Other microscopic colitis
106	GI	K52.839	Microscopic colitis, unspecified
107	GI	K52.89	Other specified noninfective gastroenteritis and colitis
108	GI	K52.9	Noninfective gastroenteritis and colitis, unspecified
109	GI	K58.0	Irritable bowel syndrome with diarrhea
110	GI	K59.00	Constipation, unspecified
111	GI	K59.01	Slow transit constipation
112	GI	K59.02	Outlet dysfunction constipation
113	GI	K59.03	Drug induced constipation
114	GI	K59.09	Other constipation
115	GI	K59.1	Functional diarrhea
116	GI	K91.0	Vomiting following gastrointestinal surgery
117	GI	K92.0	Hematemesis
118	GI	O21.0	Mild hyperemesis gravidarum
119	GI	O21.1	Hyperemesis gravidarum with metabolic disturbance
120	GI	R10.0	Acute abdomen
121	GI	R10.10	Upper abdominal_pain, unspecified
122	GI	R10.11	Right upper quadrant pain
123	GI	R10.12	Left upper quadrant pain
124	GI	R10.13	Epigastric pain
125	GI	R10.30	Lower abdominal_pain, unspecified
126	GI	R10.31	Right lower quadrant pain
127	GI	R10.32	Left lower quadrant pain
128	GI	R10.33	Periumbilical pain
129	GI	R10.811	Right upper quadrant abdominal tenderness
130	GI	R10.812	Left upper quadrant abdominal tenderness
131	GI	R10.813	Right lower quadrant abdominal tenderness
132	GI	R10.814	Left lower quadrant abdominal tenderness
133	GI	R10.815	Periumbilic abdominal tenderness
134	GI	R10.816	Epigastric abdominal tenderness
135	GI	R10.817	Generalized abdominal tenderness
136	GI	R10.819	Abdominal tenderness, unspecified site
137	GI	R10.821	Right upper quadrant rebound abdominal tenderness
138	GI	R10.822	Left upper quadrant rebound abdominal tenderness
139	GI	R10.823	Right lower quadrant rebound abdominal tenderness
140	GI	R10.824	Left lower quadrant rebound abdominal tenderness
141	GI	R10.825	Periumbilic rebound abdominal tenderness
142	GI	R10.826	Epigastric rebound abdominal tenderness
143	GI	R10.827	Generalized rebound abdominal tenderness
144	GI	R10.829	Rebound abdominal tenderness, unspecified site
145	GI	R10.84	Generalized abdominal_pain
146	GI	R10.9	Unspecified abdominal_pain
147	GI	R11.0	Nausea
148	GI	R11.10	Vomiting, unspecified
149	GI	R11.11	Vomiting without nausea
150	GI	R11.12	Projectile vomiting
151	GI	R11.13	Vomiting of fecal matter
152	GI	R11.14	Bilious vomiting
153	GI	R11.15	Cyclical vomiting syndrome unrelated to migraine
154	GI	R11.2	Nausea with vomiting, unspecified
155	GI	R19.7	Diarrhea, unspecified
156	GI	T75.3XXA	Motion sickness, initial encounter
157	GI	T75.3XXD	Motion sickness, subsequent encounter
158	Malaise_and_Fatigue	G93.3	Postviral fatigue syndrome
159	Malaise_and_Fatigue	R53.1	Weakness
160	Malaise_and_Fatigue	R53.81	Other malaise
